departamento,seccional,unidade,funciona_24h,endereco,latitude,longitude,municipio_google,municipio_spatial,ibge_spatial
DECAP,1ª,1ª DDM,Sim,"Casa da Mulher Brasileira - Rua Vieira Ravasco, 26 - Cambuci",-23.5576065,-46.6226679,São Paulo,São Paulo,3550308.0
DECAP,2ª,2ª DDM,Sim,"Avenida Onze de Junho, 89 (fundos) - Vila Clementino",-23.6018262,-46.6377652,São Paulo,São Paulo,3550308.0
DECAP,3ª,3ª DDM,Não,"Avenida Corifeu de Azevedo Marques, 4300 (2º andar) - Jaguaré",-23.5587799,-46.74665350000001,São Paulo,São Paulo,3550308.0
DECAP,3ª,9ª DDM,Não,"Avenida Menotti Laudísio, 286 - Pirituba",-23.4826247,-46.7257487,São Paulo,São Paulo,3550308.0
DECAP,4ª,4ª DDM,Sim,"Avenida Itaberaba, 731 - Nossa Senhora do Ó",-23.4946947,-46.6977047,São Paulo,São Paulo,3550308.0
DECAP,5ª,5ª DDM,Sim,"Rua Dr. Corinto Baldoino Costa, 400 - Vila Zilda",-23.5364393,-46.5633628,São Paulo,São Paulo,3550308.0
DECAP,6ª,6ª DDM,Sim,"Rua Padre José de Anchieta, 138 (fundos) - Santo Amaro",-23.6468954,-46.70744670000001,São Paulo,São Paulo,3550308.0
DECAP,7ª,7ª DDM,Sim,"Rua Sábado D'Ângelo, 64 - Itaquera",-23.5343185,-46.45186289999999,São Paulo,São Paulo,3550308.0
DECAP,8ª,8ª DDM,Sim,"Avenida Osvaldo Valle Cordeiro, 190 - Vale do Aricanduva",-23.5540299,-46.4922378,São Paulo,São Paulo,3550308.0
DEMACRO,Carapicuíba,Barueri,Sim,"Avenida Pastor Sebastião Davino dos Reis , 756 -  Jardim Barueri",-23.4961651,-46.8696458,Barueri,Barueri,3505708.0
DEMACRO,Carapicuíba,Carapicuíba,Não,"Avenida Rui Barbosa, 1582 - Vila Caldas",-23.5212567,-46.8437132,Carapicuíba,Carapicuíba,3510609.0
DEMACRO,Carapicuíba,Itapevi,Não,"Rodovia Engenheiro Renê Benedito da Silva, 830 -  Santa Rita",-23.54494,-46.94772,Itapevi,Itapevi,3522505.0
DEMACRO,Carapicuíba,Cotia,Não,"Rua Turmalina, 99 -  Jardim Nomura",-23.6053324,-46.9149922,Cotia,Cotia,3513009.0
DEMACRO,Carapicuíba,Santana de Parnaíba,Não,"Rua Álvares de Azevedo, 21 - Jardim Anhembi",-23.4569829,-46.9148954,Santana de Parnaíba,Santana de Parnaíba,3547304.0
DEMACRO,Diadema,Diadema,Não,"Rua Santa Rita de Cássia, 42 - Centro",-23.6878439,-46.620406,Diadema,Diadema,3513801.0
DEMACRO,Franco da Rocha,Francisco Morato,Não,"Rua Gregório Gomes da Silva, 39 - Centro",-23.2861245,-46.7443401,Francisco Morato,Francisco Morato,3516309.0
DEMACRO,Franco da Rocha,Franco da Rocha,Não,"Rua Gregório Gomes da Silva, 39 - Centro",-23.2861245,-46.7443401,Francisco Morato,Francisco Morato,3516309.0
DEMACRO,Guarulhos,Guarulhos,Não,"Rua Professor Carvalho Pinto, nº 125 – Centro",-23.4283439,-46.5125795,Guarulhos,Guarulhos,3518800.0
DEMACRO,Guarulhos,Arujá,Não,"Praça Bartolomeu Bueno, 07 - Centro",-23.3960961,-46.3202785,Arujá,Arujá,3503901.0
