departamento,seccional,municipio,unidade,latitude,longitude,code_muni,municipio_google,municipio_spatial,ibge_spatial
DEMACRO,GUARULHOS,Guarulhos,8º DP - Guarulhos,-23.40885432614921,-46.493494891621914,3518800.0,Guarulhos,Guarulhos,3518800.0
DEMACRO,SANTO ANDRÉ,Santo André,1º DP - Santo André,-23.6938135,-46.50909739999999,3547809.0,Santo André,Santo André,3547809.0
DEMACRO,TABOÃO DA SERRA,Embu-Guaçu,DPM - Embu-Guaçu,-23.8309593,-46.8157739,3515103.0,Embu-Guaçu,Embu-Guaçu,3515103.0
DEMACRO,TABOÃO DA SERRA,Juquitiba,DPM - Juquitiba,-23.9303533,-47.0707964,3526209.0,Juquitiba,Juquitiba,3526209.0
DEINTER 1,GUARATINGUETÁ,Lorena,1º DP - Lorena,-22.7293782,-45.07606029999999,3527207.0,Lorena,Lorena,3527207.0
DEINTER 1,SÃO JOSÉ DOS CAMPOS,Monteiro Lobato,DPM - Monteiro Lobato,-22.9545553,-45.8386923,3531704.0,Monteiro Lobato,Monteiro Lobato,3531704.0
DEINTER 1,SÃO SEBASTIÃO,Ilhabela,DPM - Ilhabela,-23.8165908,-45.3667925,3520400.0,Ilhabela,Ilhabela,3520400.0
DEINTER 1,TAUBATÉ,Tremembé,DPM - Tremembé,-22.9615878,-45.5453448,3554805.0,Tremembé,Tremembé,3554805.0
DEINTER 2,1ª CAMPINAS,Campinas,4º DP - Campinas,-22.945913,-47.165758,3509502.0,Campinas,Campinas,3509502.0
DEINTER 2,1ª CAMPINAS,Campinas,13º DP - Campinas,-22.945913,-47.165758,3509502.0,Campinas,Campinas,3509502.0
DEINTER 2,BRAGANÇA PAULISTA,Pinhalzinho,DPM - Pinhalzinho,-22.7823978,-46.590643,3538204.0,Pinhalzinho,Pinhalzinho,3538204.0
DEINTER 2,JUNDIAÍ,Campo Limpo Paulista,DPM - Campo Limpo Paulista,-23.2062325,-46.7850185,3509601.0,Campo Limpo Paulista,Campo Limpo Paulista,3509601.0
DEINTER 2,JUNDIAÍ,Morungaba,DPM - Morungaba,-22.8751844,-46.7903824,3532009.0,Morungaba,Morungaba,3532009.0
DEINTER 2,MOGI GUAÇU,Santo Antônio de Posse,DPM - Santo Antônio de Posse,-22.6049982,-46.9159146,3548005.0,Santo Antônio de Posse,Santo Antônio de Posse,3548005.0
