departamento,seccional,municipio,unidade,endereco,data_instalacao,ano,mes,latitude,longitude,code_muni,municipio_google,municipio_spatial,ibge_spatial
DECAP,8ª SECC,São Paulo,8ª DDM,"Rua Otávio Alves Dundas, 390","agosto, 2025",2025,8,-23.5988159,-46.533127,3550308.0,São Paulo,São Paulo,3550308.0
DEMACRO,CARAPICUÍBA,Barueri,DELEGACIA DE POLÍCIA DE BARUERI,"Avenida Presidente Arthur da Costa e Silva, 92","agosto, 2022",2022,8,-23.5041217,-46.8750089,3505708.0,Barueri,Barueri,3505708.0
DEMACRO,CARAPICUÍBA,Cotia,DELEGACIA DE POLÍCIA DE COTIA,"Avenida Roque Celestino Pires, 1207","abril, 2022",2022,4,-23.6878604,-47.02078789999999,3513009.0,Cotia,Cotia,3513009.0
DEMACRO,CARAPICUÍBA,Itapevi,DELEGACIA DE POLÍCIA DE ITAPEVI,"Avenida Feres Nacif , 69","setembro, 2022",2022,9,-23.5502521,-46.9389853,3522505.0,Itapevi,Itapevi,3522505.0
DEMACRO,CARAPICUÍBA,Jandira,DELEGACIA DE POLÍCIA DE JANDIRA,"Avenida Alberto Ruffolo, 33","agosto, 2022",2022,8,-23.5333811,-46.9006774,3525003.0,Jandira,Jandira,3525003.0
DEMACRO,CARAPICUÍBA,Santana De Parnaíba,DELEGACIA DE POLÍCIA DE SANTANA DE PARNAÍBA,"Rua Álvares de Azevedo, 21","setembro, 2022",2022,9,-23.4569829,-46.9148954,3547304.0,Santana de Parnaíba,Santana de Parnaíba,3547304.0
DEMACRO,CARAPICUÍBA,Carapicuíba,1º DP CARAPICUÍBA,"Avenida Rui Barbosa, 1582","agosto, 2022",2022,8,-23.5214415,-46.843639,3510609.0,Carapicuíba,Carapicuíba,3510609.0
DEMACRO,DIADEMA,Diadema,3º DP DIADEMA,"Avenida Dom João VI, 929","junho, 2024",2024,6,-23.6723933,-46.6056613,3513801.0,Diadema,Diadema,3513801.0
DEMACRO,FRANCO DA ROCHA,Caieiras,DELEGACIA DE POLÍCIA DE CAIEIRAS,"Rua Flávio Augusto de Moraes, 180","março, 2024",2024,3,-23.3652273,-46.7496368,3509007.0,Caieiras,Caieiras,3509007.0
DEMACRO,FRANCO DA ROCHA,Cajamar,DELEGACIA DE POLÍCIA DE CAJAMAR,"Rua Manoel Antonio Gomes, 56-100","março, 2024",2024,3,-23.3376894,-46.8400687,3509205.0,Cajamar,Cajamar,3509205.0
DEMACRO,FRANCO DA ROCHA,Mairiporã,DELEGACIA DE POLÍCIA DE MAIRIPORÃ,"Rua Odorico Pereira da Silva, 50","março, 2024",2024,3,-23.3213823,-46.5843518,3528502.0,Mairiporã,Mairiporã,3528502.0
DEMACRO,FRANCO DA ROCHA,Franco Da Rocha,DELEGACIA DE POLÍCIA DE FRANCO DA ROCHA,"Estrada do Governo, 185","março, 2024",2024,3,-23.3323274,-46.7259418,3516408.0,Franco da Rocha,Franco da Rocha,3516408.0
DEMACRO,FRANCO DA ROCHA,Francisco Morato,FRANCISCO MORATO,"Rua Manoel Vilaboim, 210","março, 2024",2024,3,-23.2770688,-46.7438069,3516408.0,Francisco Morato,Francisco Morato,3516309.0
DEMACRO,GUARULHOS,Guarulhos,1º DP GUARULHOS,"Avenida Monteiro Lobato, 244","março, 2024",2024,3,-23.469904,-46.5238843,3518800.0,Guarulhos,Guarulhos,3518800.0
DEMACRO,GUARULHOS,Guarulhos,2º DP GUARULHOS,"Rua Mena, 329","março, 2024",2024,3,-23.4491214,-46.5412196,3518800.0,Guarulhos,Guarulhos,3518800.0
DEMACRO,GUARULHOS,Guarulhos,4º DP GUARULHOS,"Avenida Santana da Mundau, 684","março, 2024",2024,3,-23.4410522,-46.4220756,3518800.0,Guarulhos,Guarulhos,3518800.0
DEMACRO,GUARULHOS,Guarulhos,7º DP GUARULHOS,"Estrada Guarulhos, 2.447","março, 2024",2024,3,-23.4698876,-46.53907419999999,3518800.0,Guarulhos,Guarulhos,3518800.0
DEMACRO,GUARULHOS,Arujá,DELEGACIA DE POLÍCIA DE ARUJÁ,"Praça Bartolomeu Bueno, 7","maio, 2024",2024,5,-23.3960961,-46.3202785,3503901.0,Arujá,Arujá,3503901.0
DEMACRO,MOGI DAS CRUZES,Poá,DELEGACIA DE POLÍCIA DE POÁ,"Rua Antônio Massa, 195","outubro, 2023",2023,10,-23.5197526,-46.3409135,3539806.0,Poá,Poá,3539806.0
DEMACRO,MOGI DAS CRUZES,Biritiba Mirim,DELEGACIA DE POLÍCIA DE BIRITIBA MIRIM,"Avenida Maria José Siqueira, 95","outubro, 2023",2023,10,-23.5752271,-46.0383533,3506607.0,Biritiba Mirim,Biritiba Mirim,3506607.0
DEMACRO,MOGI DAS CRUZES,Ferraz De Vasconcelos,DELEGACIA DE POLÍCIA DE FERRAZ DE VASCONCELOS,"Rua Davi Rogatis, 49","outubro, 2023",2023,10,-23.5514161,-46.3788892,3515707.0,Ferraz de Vasconcelos,Ferraz de Vasconcelos,3515707.0
DEMACRO,MOGI DAS CRUZES,Salesópolis,DELEGACIA DE POLÍCIA DE SALESÓPOLIS,"Rua Expedito Benedito da Fonseca, 166","outubro, 2023",2023,10,-23.5270826,-45.8483063,3545001.0,Salesópolis,Salesópolis,3545001.0
DEMACRO,MOGI DAS CRUZES,Guararema,DELEGACIA DE POLÍCIA DE GUARAREMA,"Rua Rangel Junior, 148","outubro, 2023",2023,10,-23.4128451,-46.0366158,3518305.0,Guararema,Guararema,3518305.0
DEMACRO,MOGI DAS CRUZES,Mogi Das Cruzes,CPJ MOGI DAS CRUZES,"Praça Antonio Nogueira, 769","outubro, 2023",2023,10,-23.52286,-46.1832114,3530607.0,Mogi das Cruzes,Mogi das Cruzes,3530607.0
DEMACRO,MOGI DAS CRUZES,Itaquaquecetuba,DELEGACIA DE POLÍCIA DE ITAQUAQUECETUBA,"Avenida João Fernandes da Silva, 220","outubro, 2023",2023,10,-23.4851356,-46.35285409999999,3523107.0,Itaquaquecetuba,Itaquaquecetuba,3523107.0
DEMACRO,MOGI DAS CRUZES,Suzano,DELEGACIA DE POLÍCIA DE SUZANO,"Rua General Francisco Glicério, 1.762","outubro, 2023",2023,10,-23.5346473,-46.3081649,3552502.0,Suzano,Suzano,3552502.0
DEMACRO,OSASCO,Osasco,5º DP OSASCO,"Rua Melvin Jones, 152","março, 2024",2024,3,-23.5310885,-46.7750598,3534401.0,Osasco,Osasco,3534401.0
DEMACRO,OSASCO,Osasco,10º DP OSASCO,"Avenida João Ventura dos Santos, 886","março, 2024",2024,3,-23.4975184,-46.7898304,3534401.0,Osasco,Osasco,3534401.0
DEMACRO,SANTO ANDRÉ,Santo André,2º DP SANTO ANDRÉ,"Rua Angatuba, 115","março, 2024",2024,3,-23.6397643,-46.528773,3547809.0,Santo André,Santo André,3547809.0
