cod_ibge,municipio,ra,atendido_sabesp,economias_antes,economias_depois,pessoas_antes,pessoas_depois,variacao_pct,multiplicador,DOBROU?,TRIPLICOU?
3500105,Adamantina,RA Presidente Prudente,Sim,80,1210,240,3630,1412.5,15.12,Sim,Sim
3500204,Adolfo,RA São José do Rio Preto,Sim,60,290,180,870,383.3,4.83,Sim,Sim
3500303,Aguaí,RA Campinas,Sim,780,2620,2340,7860,235.9,3.36,Sim,Sim
3500402,Águas da Prata,RA Campinas,Sim,80,320,240,960,300.0,4.0,Sim,Sim
3500501,Águas de Lindóia,RA Campinas,Não,0,0,0,0,,,,
3500550,Águas de Santa Bárbara,RA Sorocaba,Sim,160,470,480,1410,193.8,2.94,Sim,Não
3500600,Águas de São Pedro,RA Campinas,Sim,10,80,30,240,700.0,8.0,Sim,Sim
3500709,Agudos,RA Bauru,Sim,280,1630,840,4890,482.1,5.82,Sim,Sim
3500758,Alambari,RA Sorocaba,Sim,30,350,90,1050,1066.7,11.67,Sim,Sim
3500808,Alfredo Marcondes,RA Presidente Prudente,Sim,20,330,60,990,1550.0,16.5,Sim,Sim
3500907,Altair,RA Barretos,Sim,40,180,120,540,350.0,4.5,Sim,Sim
3501004,Altinópolis,RA Ribeirão Preto,Não,0,0,0,0,,,,
3501103,Alto Alegre,RA Araçatuba,Sim,90,290,270,870,222.2,3.22,Sim,Sim
3501152,Alumínio,RA Sorocaba,Sim,130,430,390,1290,230.8,3.31,Sim,Sim
3501202,Álvares Florence,RA São José do Rio Preto,Não,0,0,0,0,,,,
3501301,Álvares Machado,RA Presidente Prudente,Sim,410,1790,1230,5370,336.6,4.37,Sim,Sim
3501400,Álvaro de Carvalho,RA Marília,Sim,80,300,240,900,275.0,3.75,Sim,Sim
3501509,Alvinlândia,RA Marília,Sim,50,220,150,660,340.0,4.4,Sim,Sim
3501608,Americana,RA Campinas,Não,0,0,0,0,,,,
3501707,Américo Brasiliense,RA Central,Não,0,0,0,0,,,,
3501806,Américo de Campos,RA São José do Rio Preto,Não,0,0,0,0,,,,
3501905,Amparo,RA Campinas,Não,0,0,0,0,,,,
3502002,Analândia,RA Campinas,Não,0,0,0,0,,,,
3502101,Andradina,RA Araçatuba,Não,0,0,0,0,,,,
3502200,Angatuba,RA Itapeva,Sim,210,1510,630,4530,619.0,7.19,Sim,Sim
3502309,Anhembi,RA Sorocaba,Sim,130,530,390,1590,307.7,4.08,Sim,Sim
3502408,Anhumas,RA Presidente Prudente,Sim,0,260,0,780,,,Sim,Sim
3502507,Aparecida,RA São José dos Campos,Não,0,0,0,0,,,,
3502606,Aparecida d'Oeste,RA São José do Rio Preto,Sim,140,380,420,1140,171.4,2.71,Sim,Não
3502705,Apiaí,RA Itapeva,Sim,590,1850,1770,5550,213.6,3.14,Sim,Sim
3502754,Araçariguama,RA Sorocaba,Sim,170,950,510,2850,458.8,5.59,Sim,Sim
3502804,Araçatuba,RA Araçatuba,Não,0,0,0,0,,,,
3502903,Araçoiaba da Serra,RA Sorocaba,Não,0,0,0,0,,,,
3503000,Aramina,RA Franca,Não,0,0,0,0,,,,
3503109,Arandu,RA Itapeva,Sim,120,510,360,1530,325.0,4.25,Sim,Sim
3503158,Arapeí,RA São José dos Campos,Sim,80,250,240,750,212.5,3.12,Sim,Sim
3503208,Araraquara,RA Central,Não,0,0,0,0,,,,
3503307,Araras,RA Campinas,Não,0,0,0,0,,,,
3503356,Arco-Íris,RA Marília,Sim,30,120,90,360,300.0,4.0,Sim,Sim
3503406,Arealva,RA Bauru,Sim,90,580,270,1740,544.4,6.44,Sim,Sim
3503505,Areias,RA São José dos Campos,Não,0,0,0,0,,,,
3503604,Areiópolis,RA Sorocaba,Sim,140,560,420,1680,300.0,4.0,Sim,Sim
3503703,Ariranha,RA São José do Rio Preto,Não,0,0,0,0,,,,
3503802,Artur Nogueira,RA Campinas,Não,0,0,0,0,,,,
3503901,Arujá,RM  São Paulo,Sim,1930,6020,5790,18060,211.9,3.12,Sim,Sim
3503950,Aspásia,RA São José do Rio Preto,Sim,20,140,60,420,600.0,7.0,Sim,Sim
3504008,Assis,RA Marília,Sim,630,4660,1890,13980,639.7,7.4,Sim,Sim
3504107,Atibaia,RA Campinas,Não,0,0,0,0,,,,
3504206,Auriflama,RA Araçatuba,Sim,340,950,1020,2850,179.4,2.79,Sim,Não
3504305,Avaí,RA Bauru,Sim,50,280,150,840,460.0,5.6,Sim,Sim
3504404,Avanhandava,RA Araçatuba,Não,0,0,0,0,,,,
3504503,Avaré,RA Sorocaba,Sim,830,4540,2490,13620,447.0,5.47,Sim,Sim
3504602,Bady Bassitt,RA São José do Rio Preto,Não,0,0,0,0,,,,
3504701,Balbinos,RA Bauru,Sim,40,120,120,360,200.0,3.0,Sim,Sim
3504800,Bálsamo,RA São José do Rio Preto,Não,0,0,0,0,,,,
3504909,Bananal,RA São José dos Campos,Sim,260,940,780,2820,261.5,3.62,Sim,Sim
3505005,Barão de Antonina,RA Itapeva,Sim,30,290,90,870,866.7,9.67,Sim,Sim
3505104,Barbosa,RA Araçatuba,Não,0,0,0,0,,,,
3505203,Bariri,RA Bauru,Não,0,0,0,0,,,,
3505302,Barra Bonita,RA Bauru,Não,0,0,0,0,,,,
3505351,Barra do Chapéu,RA Itapeva,Sim,110,450,330,1350,309.1,4.09,Sim,Sim
3505401,Barra do Turvo,RA Registro,Sim,90,430,270,1290,377.8,4.78,Sim,Sim
3505500,Barretos,RA Barretos,Não,0,0,0,0,,,,
3505609,Barrinha,RA Ribeirão Preto,Não,0,0,0,0,,,,
3505708,Barueri,RM  São Paulo,Sim,8370,21680,25110,65040,159.0,2.59,Sim,Não
3505807,Bastos,RA Marília,Sim,70,800,210,2400,1042.9,11.43,Sim,Sim
3505906,Batatais,RA Franca,Não,0,0,0,0,,,,
3506003,Bauru,RA Bauru,Não,0,0,0,0,,,,
3506102,Bebedouro,RA Barretos,Não,0,0,0,0,,,,
3506201,Bento de Abreu,RA Araçatuba,Sim,50,140,150,420,180.0,2.8,Sim,Não
