Ano,Roubo_Outros,Roubo_Veiculo,Roubo_Banco,Roubo_Carga,Roubos_Geral
2001,34696,16656,42,498,51352
2002,36760,15250,25,607,52010
2003,37978,13315,24,585,51293
2004,35263,12258,40,918,47521
2005,33894,13011,43,1029,46905
2006,33586,11882,70,938,45468
2007,33772,10992,56,973,44764
2008,35597,9190,42,975,44787
2009,42163,12307,36,1173,54470
2010,36450,10899,43,1048,47349
2011,36203,11814,41,1284,48017
2012,37145,13546,35,1190,50691
2013,38797,14591,31,1156,53388
2014,52427,18207,40,1504,70634
2015,49701,13989,34,1494,63690
2016,51283,12577,19,1341,63860
2017,51571,11678,24,1709,63249
2018,45276,9021,8,1487,54297
2019,40381,7510,3,1197,47891
2020,47705,6904,6,1114,54609
2021,38223,5259,4,1093,43482
2022,37830,5596,2,1065,43426
2023,39200,6117,0,973,45317
2024,34049,4576,1,835,38625
2025,30180,4562,0,669,34742
2026,23719,2743,0,450,26462
